Jour,Bloc,Exercice,Series_Reps
Jour 1,Superset 1,Poulie vis-à-vis basse / Élévations latérales,Série 1 : 10 reps
Jour 1,Superset 1,Poulie vis-à-vis basse / Élévations latérales,Série 2 : 10 reps
Jour 1,Superset 1,Poulie vis-à-vis basse / Élévations latérales,Série 3 : 10 reps
Jour 1,Superset 1,Poulie vis-à-vis basse / Élévations latérales,Série 4 : 10 reps
Jour 1,Superset 2,Développé incliné à la Smith / Chest Press,Série 1 : 10 reps
Jour 1,Superset 2,Développé incliné à la Smith / Chest Press,Série 2 : 10 reps
Jour 1,Superset 2,Développé incliné à la Smith / Chest Press,Série 3 : 10 reps
Jour 1,Superset 2,Développé incliné à la Smith / Chest Press,Série 4 : 10 reps
Jour 1,Superset 3,Développé couché haltères / Banc incliné allongé,Série 1 : 10 reps
Jour 1,Superset 3,Développé couché haltères / Banc incliné allongé,Série 2 : 10 reps
Jour 1,Superset 3,Développé couché haltères / Banc incliné allongé,Série 3 : 10 reps
Jour 1,Superset 3,Développé couché haltères / Banc incliné allongé,Série 4 : 10 reps
Jour 2,Superset 1,Tirage vertical / Lombaires,Série 1 : 10 reps
Jour 2,Superset 1,Tirage vertical / Lombaires,Série 2 : 10 reps
Jour 2,Superset 1,Tirage vertical / Lombaires,Série 3 : 10 reps
Jour 2,Superset 1,Tirage vertical / Lombaires,Série 4 : 10 reps
Jour 2,Superset 2,Rowing barre / Tirage horizontal unilatéral,Série 1 : 10 reps
Jour 2,Superset 2,Rowing barre / Tirage horizontal unilatéral,Série 2 : 10 reps
Jour 2,Superset 2,Rowing barre / Tirage horizontal unilatéral,Série 3 : 10 reps
Jour 2,Superset 2,Rowing barre / Tirage horizontal unilatéral,Série 4 : 10 reps
Jour 2,Superset 3,Pull-over / Oiseau ou reverse machine,Série 1 : 10 reps
Jour 2,Superset 3,Pull-over / Oiseau ou reverse machine,Série 2 : 10 reps
Jour 2,Superset 3,Pull-over / Oiseau ou reverse machine,Série 3 : 10 reps
Jour 2,Superset 3,Pull-over / Oiseau ou reverse machine,Série 4 : 10 reps
Jour 3,Superset 1,Presse ou Hack Squat / Mollets,Série 1 : 10 reps
Jour 3,Superset 1,Presse ou Hack Squat / Mollets,Série 2 : 10 reps
Jour 3,Superset 1,Presse ou Hack Squat / Mollets,Série 3 : 10 reps
Jour 3,Superset 1,Presse ou Hack Squat / Mollets,Série 4 : 10 reps
Jour 3,Superset 2,Fentes bulgares / Leg Extension,Série 1 : 10 reps
Jour 3,Superset 2,Fentes bulgares / Leg Extension,Série 2 : 10 reps
Jour 3,Superset 2,Fentes bulgares / Leg Extension,Série 3 : 10 reps
Jour 3,Superset 2,Fentes bulgares / Leg Extension,Série 4 : 10 reps
Jour 3,Superset 3,Hip Thrust / Leg Curl,Série 1 : 10 reps
Jour 3,Superset 3,Hip Thrust / Leg Curl,Série 2 : 10 reps
Jour 3,Superset 3,Hip Thrust / Leg Curl,Série 3 : 10 reps
Jour 3,Superset 3,Hip Thrust / Leg Curl,Série 4 : 10 reps
Jour 4,Superset 1,Développé couché haltères / Écarté incliné haltères ou poulie,Série 1 : 10 reps
Jour 4,Superset 1,Développé couché haltères / Écarté incliné haltères ou poulie,Série 2 : 10 reps
Jour 4,Superset 1,Développé couché haltères / Écarté incliné haltères ou poulie,Série 3 : 10 reps
Jour 4,Superset 1,Développé couché haltères / Écarté incliné haltères ou poulie,Série 4 : 10 reps
Jour 4,Superset 2,Curl marteau / Triceps à la barre V,Série 1 : 10 reps
Jour 4,Superset 2,Curl marteau / Triceps à la barre V,Série 2 : 10 reps
Jour 4,Superset 2,Curl marteau / Triceps à la barre V,Série 3 : 10 reps
Jour 4,Superset 2,Curl marteau / Triceps à la barre V,Série 4 : 10 reps
Jour 4,Superset 3,Curl incliné / Triceps unilatéral,Série 1 : 10 reps
Jour 4,Superset 3,Curl incliné / Triceps unilatéral,Série 2 : 10 reps
Jour 4,Superset 3,Curl incliné / Triceps unilatéral,Série 3 : 10 reps
Jour 4,Superset 3,Curl incliné / Triceps unilatéral,Série 4 : 10 reps
Jour 4,Superset 4,Curl barre droite / Triceps grande portion à la corde,Série 1 : 10 reps
Jour 4,Superset 4,Curl barre droite / Triceps grande portion à la corde,Série 2 : 10 reps
Jour 4,Superset 4,Curl barre droite / Triceps grande portion à la corde,Série 3 : 10 reps
Jour 4,Superset 4,Curl barre droite / Triceps grande portion à la corde,Série 4 : 10 reps
Jour 4,Superset 5,Avant-bras / Abdos (libre),Série 1 : 10 reps
Jour 4,Superset 5,Avant-bras / Abdos (libre),Série 2 : 10 reps
Jour 4,Superset 5,Avant-bras / Abdos (libre),Série 3 : 10 reps
Jour 4,Superset 5,Avant-bras / Abdos (libre),Série 4 : 10 reps
Jour 5,Superset 1,Rowing barre pronation / Développé militaire,Série 1 : 10 reps
Jour 5,Superset 1,Rowing barre pronation / Développé militaire,Série 2 : 10 reps
Jour 5,Superset 1,Rowing barre pronation / Développé militaire,Série 3 : 10 reps
Jour 5,Superset 1,Rowing barre pronation / Développé militaire,Série 4 : 10 reps
Jour 5,Superset 2,Tirage serré bas / Shrugs,Série 1 : 10 reps
Jour 5,Superset 2,Tirage serré bas / Shrugs,Série 2 : 10 reps
Jour 5,Superset 2,Tirage serré bas / Shrugs,Série 3 : 10 reps
Jour 5,Superset 2,Tirage serré bas / Shrugs,Série 4 : 10 reps
Jour 5,Superset 3,Facepull / Élévations latérales unilatérales,Série 1 : 10 reps
Jour 5,Superset 3,Facepull / Élévations latérales unilatérales,Série 2 : 10 reps
Jour 5,Superset 3,Facepull / Élévations latérales unilatérales,Série 3 : 10 reps
Jour 5,Superset 3,Facepull / Élévations latérales unilatérales,Série 4 : 10 reps

